				
Time	keytime	target	cy	hy
1000.83	43.43935	-2	-0.2655945	1.509621
1000.867	43.45755	-2	-0.2684326	1.445745
1000.895	43.46755	-2	-0.2624817	1.470497
1000.94	43.48117	-2	-0.3415222	1.466957
1000.968	43.49516	-2	-0.3627625	1.478567
1000.999	43.51054	-2	-0.3946228	1.470369
1001.043	43.52054	-2	-0.4440002	1.393844
1001.071	43.53685	-2	-0.5708008	1.212983
1001.099	43.55134	-2	-0.7252502	1.100178
1001.13	43.56778	-2	-1.021606	0.8909162
1001.168	43.57778	-2	-1.439209	0.2537229
1001.205	43.58987	-2	-2.22113	-0.6038208
1001.234	43.60482	-2	-2.848846	-1.311707
1001.265	43.62049	-2	-4.01944	-2.41272
1001.302	43.63049	-2	-5.461273	-3.970886
1001.334	43.64048	-2	-6.892242	-5.234772
1001.365	43.66245	-2	-9.294189	-7.800049
1001.402	43.67245	-2	-11.50531	-9.956573
1001.43	43.68245	-2	-13.20721	-11.61868
1001.466	43.69693	-2	-16.17776	-14.24197
1001.501	43.71368	-2	-19.40787	-17.31992
1001.53	43.72367	-2	-20.64169	-18.8067
1001.565	43.73367	-2	-23.09277	-21.28159
1001.611	43.74367	-2	-26.26254	-24.34277
1001.637	43.75367	-2	-28.18475	-26.33539
1001.675	43.77991	-2	-31.49976	-29.66833
1001.699	43.80524	-2	-33.07373	-31.48709
1001.741	43.81524	-2	-35.05765	-33.56363
1001.768	43.82524	-2	-36.47672	-34.93591
1001.797	43.83524	-2	-37.83234	-36.38336
1001.834	43.86268	-2	-41.37238	-39.6748
1001.876	43.87268	-2	-42.76678	-40.98883
1001.903	43.88268	-2	-44.14084	-42.27771
1001.93	43.89267	-2	-45.45251	-43.59232
1001.968	43.92016	-2	-48.04343	-46.30374
1002.011	43.93016	-2	-48.94675	-47.18835
1002.036	43.94016	-2	-49.74838	-47.98248
1002.072	43.96611	-2	-50.84723	-49.11615
1002.101	43.99446	-2	-51.18356	-49.48941
1002.144	44.00446	-2	-51.48615	-49.80182
1002.17	44.01446	-2	-51.73672	-50.05325
1002.198	44.02446	-2	-51.9314	-50.26166
1002.235	44.05081	-2	-52.17789	-50.50287
1002.279	44.06081	-2	-52.29401	-50.54581
1002.304	44.0708	-2	-52.32587	-50.57251
1002.344	44.0808	-2	-52.2934	-50.5701
1002.371	44.09449	-2	-52.27774	-50.52045
1009.757	44.10449	-3	-0.4734497	1.616111
1009.77	44.15972	-3	-0.4892578	1.585332
1009.805	44.16972	-3	-0.4841919	1.571577
1009.838	44.19197	-3	-0.4625854	1.583032
1009.858	44.20197	-3	-0.4568787	1.52618
1009.889	44.21197	-3	-0.4430847	1.5477
1009.932	44.22641	-3	-0.4384155	1.54575
1009.958	44.23641	-3	-0.4420166	1.533716
1010	44.24641	-3	-0.436676	1.470022
1010.038	44.2564	-3	-0.4370422	1.411141
1010.06	44.2664	-3	-0.4260254	1.423356
1010.098	44.29361	-3	-0.4151001	1.408441
1010.141	44.30361	-3	-0.3629456	1.512735
1010.168	44.31361	-3	-0.09179688	1.849551
1010.194	44.3236	-3	0.2573453	2.30496
1010.23	44.3504	-3	1.182296	3.128808
1010.275	44.36039	-3	1.938484	3.7854
1010.303	44.37039	-3	2.408072	4.327078
1010.341	44.39591	-3	3.083461	4.931576
1010.364	44.42105	-3	3.173366	5.045822
1010.407	44.43105	-3	2.926104	4.767261
1010.436	44.44105	-3	2.480561	4.434103
1010.462	44.45105	-3	1.769203	3.724592
1010.489	44.46105	-3	0.8722258	2.723809
1010.542	44.47105	-3	-2.025635	-0.1308594
1010.57	44.48104	-3	-3.547882	-1.84256
1010.596	44.49104	-3	-5.305847	-3.599152
1010.636	44.51819	-3	-10.33783	-8.619171
1010.676	44.52819	-3	-11.87625	-10.09125
1010.703	44.53819	-3	-15.29752	-13.4035
1010.732	44.54819	-3	-18.19455	-16.0979
1010.768	44.57385	-3	-24.35577	-22.5343
1010.81	44.58385	-3	-26.99747	-25.22839
1010.838	44.59385	-3	-29.95261	-28.23672
1010.865	44.60384	-3	-32.6286	-31.00439
1010.894	44.61384	-3	-36.17188	-34.51398
1010.943	44.62384	-3	-41.60965	-39.79916
1010.971	44.63384	-3	-44.06342	-42.08453
1010.997	44.64384	-3	-46.32532	-44.42847
1011.034	44.66997	-3	-51.20425	-49.43372
1011.078	44.67997	-3	-53.0592	-51.38611
1011.105	44.68997	-3	-54.76404	-53.08939
1011.133	44.69997	-3	-56.33328	-54.62924
1011.159	44.70996	-3	-58.27255	-56.61926
1011.211	44.71996	-3	-60.89288	-59.2789
1011.239	44.72996	-3	-62.21924	-60.5296
1011.265	44.73996	-3	-63.31207	-61.61676
1011.292	44.74996	-3	-64.6825	-63.09344
1011.328	44.77697	-3	-66.64987	-65.86404
1011.373	44.78697	-3	-67.50385	-66.85245
1011.4	44.79697	-3	-68.34372	-66.97037
1011.439	44.82355	-3	-70.08313	-68.87796
