Time	keytime	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
106.482	8.072049	3	120	0	0	-0.5000001	-0.8660254	-0.007689388	0.008690665	-0.009454036	
106.493	8.079311	3	120	0	0	-0.5000001	-0.8660254	-0.007680572	0.008748071	-0.009525745	
106.503	8.089785	3	120	0	0	-0.5000001	-0.8660254	-0.007696439	0.008909829	-0.009714155	
106.509	8.099093	3	120	0	0	-0.5000001	-0.8660254	-0.00772692	0.00899965	-0.009830166	
106.516	8.105955	3	120	0	0	-0.5000001	-0.8660254	-0.007784594	0.009117949	-0.009971441	
106.526	8.112805	3	120	0	0	-0.5000001	-0.8660254	-0.007836617	0.009184839	-0.01006156	
106.536	8.123044	3	120	0	0	-0.5000001	-0.8660254	-0.007941665	0.009306602	-0.01022175	
106.543	8.132914	3	120	0	0	-0.5000001	-0.8660254	-0.008076868	0.009419401	-0.01037004	
106.554	8.139572	3	120	0	0	-0.5000001	-0.8660254	-0.00819904	0.009486536	-0.01046037	
106.561	8.150596	3	120	0	0	-0.5000001	-0.8660254	-0.008344688	0.009534742	-0.01053774	
106.571	8.157848	3	120	0	0	-0.5000001	-0.8660254	-0.008459335	0.009553994	-0.01057235	
106.579	8.168227	3	120	0	0	-0.5000001	-0.8660254	-0.008585773	0.009550884	-0.0105837	
106.590	8.175563	3	120	0	0	-0.5000001	-0.8660254	-0.008667392	0.009536673	-0.01057637	
106.596	8.185988	3	120	0	0	-0.5000001	-0.8660254	-0.008740451	0.009506322	-0.01054856	
106.606	8.192655	3	120	0	0	-0.5000001	-0.8660254	-0.008768179	0.009485704	-0.01052675	
106.613	8.202648	3	120	0	0	-0.5000001	-0.8660254	-0.008789092	0.009447454	-0.01048337	
106.624	8.210707	3	120	0	0	-0.5000001	-0.8660254	-0.008789415	0.00941494	-0.01044355	
106.631	8.220554	3	120	0	0	-0.5000001	-0.8660254	-0.008778319	0.009363068	-0.0103796	
106.642	8.227145	3	120	0	0	-0.5000001	-0.8660254	-0.008768461	0.009328245	-0.01033483	
106.648	8.238218	3	120	0	0	-0.5000001	-0.8660254	-0.008739496	0.009226013	-0.01021068	
106.658	8.244868	3	120	0	0	-0.5000001	-0.8660254	-0.00872427	0.00917494	-0.01014481	
106.665	8.25468	3	120	0	0	-0.5000001	-0.8660254	-0.008688384	0.009067909	-0.01001273	
106.675	8.260866	3	120	0	0	-0.5000001	-0.8660254	-0.008665578	0.009003907	-0.009931531	
106.682	8.271576	3	120	0	0	-0.5000001	-0.8660254	-0.008597389	0.008861108	-0.009757974	
