Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
74.422	0.02495921	70.40237		3	90	0	0	-3.059797E-08	0.7	-0.0004282445	-0.1425316	0.2674027	
74.439	0.04301353	70.42043		3	90	0	0	-3.059797E-08	0.7	-0.0008548889	-0.1430364	0.267756	
74.476	0.07915655	70.45657		3	90	0	0	-3.059797E-08	0.7	-0.001225624	-0.1434931	0.2681761	
74.491	0.09460781	70.47202		3	90	0	0	-3.059797E-08	0.7	-0.001465261	-0.1439691	0.2683559	
74.509	0.1130742	70.49049		3	90	0	0	-3.059797E-08	0.7	-0.001658902	-0.1443442	0.2686862	
74.528	0.131599	70.50901		3	90	0	0	-3.059797E-08	0.7	-0.001765719	-0.1446128	0.268914	
74.552	0.1563508	70.53376		3	90	0	0	-3.059797E-08	0.7	-0.001875086	-0.1447977	0.2690521	
74.572	0.1755212	70.55293		3	90	0	0	-3.059797E-08	0.7	-0.002029449	-0.1450729	0.2692423	
74.588	0.1920241	70.56944		3	90	0	0	-3.059797E-08	0.7	-0.002167851	-0.1452888	0.2694584	
74.605	0.209107	70.58652		3	90	0	0	-3.059797E-08	0.7	-0.002289627	-0.1454509	0.2697008	
74.623	0.227228	70.60464		3	90	0	0	-3.059797E-08	0.7	-0.002366193	-0.1455463	0.2697572	
74.642	0.2457809	70.62319		3	90	0	0	-3.059797E-08	0.7	-0.002478383	-0.1457381	0.2699799	
74.660	0.2639775	70.64139		3	90	0	0	-3.059797E-08	0.7	-0.00254293	-0.1459244	0.270182	
74.679	0.2830396	70.66045		3	90	0	0	-3.059797E-08	0.7	-0.002587639	-0.146199	0.2703525	
74.705	0.3087269	70.68613		3	90	0	0	-3.059797E-08	0.7	-0.002645567	-0.1463952	0.2704298	
74.726	0.3303865	70.70779		3	90	0	0	-3.059797E-08	0.7	-0.002681693	-0.1466172	0.2704769	
74.744	0.3480904	70.7255		3	90	0	0	-3.059797E-08	0.7	-0.002719354	-0.1468289	0.270723	
74.769	0.3731089	70.75052		3	90	0	0	-3.059797E-08	0.7	-0.002724102	-0.1470072	0.2708004	
74.791	0.3953904	70.7728		3	90	0	0	-3.059797E-08	0.7	-0.002687521	-0.147269	0.2709651	
74.810	0.4143889	70.7918		3	90	0	0	-3.059797E-08	0.7	-0.002687944	-0.1474669	0.2711216	
74.835	0.4391225	70.81654		3	90	0	0	-3.059797E-08	0.7	-0.002709493	-0.1477287	0.2714675	
74.859	0.4631699	70.84058		3	90	0	0	-3.059797E-08	0.7	-0.002767183	-0.1480199	0.2716305	
74.876	0.4799213	70.85733		3	90	0	0	-3.059797E-08	0.7	-0.002807464	-0.1484384	0.2720546	
74.901	0.5052969	70.88271		3	90	0	0	-3.059797E-08	0.7	-0.002792656	-0.1486876	0.2722341	
74.923	0.5267587	70.90417		3	90	0	0	-3.059797E-08	0.7	-0.002761573	-0.149128	0.2726591	
74.945	0.54896	70.92637		3	90	0	0	-3.059797E-08	0.7	-0.002747435	-0.1494201	0.2729175	
74.968	0.5725768	70.94999		3	90	0	0	-3.059797E-08	0.7	-0.002769638	-0.1497381	0.2731581	
74.989	0.5935411	70.97095		3	90	0	0	-3.059797E-08	0.7	-0.002822425	-0.1499764	0.2733545	
75.016	0.6190882	70.9965		3	90	0	0	-3.059797E-08	0.7	-0.002858408	-0.1502241	0.2734899	
75.035	0.6387271	71.01614		3	90	0	0	-3.059797E-08	0.7	-0.002937783	-0.1503423	0.2734168	
75.059	0.6623853	71.03979		3	90	0	0	-3.059797E-08	0.7	-0.002994591	-0.1503612	0.273173	
75.078	0.6820531	71.05946		3	90	0	0	-3.059797E-08	0.7	-0.003145246	-0.1501966	0.2727286	
75.101	0.7046005	71.08201		3	90	0	0	-3.059797E-08	0.7	-0.003314419	-0.1498192	0.2718828	
75.125	0.7287446	71.10616		3	90	0	0	-3.059797E-08	0.7	-0.003578186	-0.1493022	0.2706202	
75.146	0.7499966	71.12741		3	90	0	0	-3.059797E-08	0.7	-0.003876714	-0.1485272	0.2689956	
75.170	0.7739286	71.15134		3	90	0	0	-3.059797E-08	0.7	-0.004186813	-0.1475461	0.2669866	
75.192	0.7967703	71.17418		3	90	0	0	-3.059797E-08	0.7	-0.004608265	-0.1462912	0.2642942	
75.213	0.8171939	71.1946		3	90	0	0	-3.059797E-08	0.7	-0.00512369	-0.1447278	0.2611162	
75.234	0.8383641	71.21577		3	90	0	0	-3.059797E-08	0.7	-0.005539333	-0.1429697	0.2576084	
75.258	0.8617537	71.23917		3	90	0	0	-3.059797E-08	0.7	-0.005962065	-0.140918	0.2537152	
75.279	0.8830827	71.26049		3	90	0	0	-3.059797E-08	0.7	-0.006198227	-0.1386926	0.2492504	
75.303	0.906989	71.2844		3	90	0	0	-3.059797E-08	0.7	-0.006429533	-0.1362379	0.2443686	
75.324	0.9276839	71.30509		3	90	0	0	-3.059797E-08	0.7	-0.006426261	-0.1335465	0.2391588	
75.348	0.9525235	71.32993		3	90	0	0	-3.059797E-08	0.7	-0.006277109	-0.1306828	0.2339628	
75.369	0.9729257	71.35033		3	90	0	0	-3.059797E-08	0.7	-0.00598684	-0.1277172	0.2283259	
75.390	0.9935301	71.37094		3	90	0	0	-3.059797E-08	0.7	-0.005613694	-0.1246397	0.2226201	
75.413	1.016502	71.39391		3	90	0	0	-3.059797E-08	0.7	-0.005110888	-0.1214848	0.2167354	
75.434	1.038144	71.41556		3	90	0	0	-3.059797E-08	0.7	-0.004513226	-0.1182596	0.210626	
75.460	1.063842	71.44125		3	90	0	0	-3.059797E-08	0.7	-0.003772292	-0.1150034	0.2040408	
75.481	1.084499	71.46191		3	90	0	0	-3.059797E-08	0.7	-0.002925292	-0.1116784	0.1971671	
75.503	1.107226	71.48463		3	90	0	0	-3.059797E-08	0.7	-0.002010565	-0.108326	0.1902362	
75.523	1.127656	71.50507		3	90	0	0	-3.059797E-08	0.7	-0.001051858	-0.104953	0.183183	
75.548	1.152134	71.52954		3	90	0	0	-3.059797E-08	0.7	-4.807673E-05	-0.1015338	0.176028	
75.568	1.171796	71.54921		3	90	0	0	-3.059797E-08	0.7	0.0008712057	-0.09826398	0.1686521	
75.593	1.197186	71.5746		3	90	0	0	-3.059797E-08	0.7	0.001799997	-0.09508727	0.1612457	
75.613	1.217283	71.5947		3	90	0	0	-3.059797E-08	0.7	0.002782222	-0.09188763	0.1537731	
75.637	1.24104	71.61845		3	90	0	0	-3.059797E-08	0.7	0.003734832	-0.08883952	0.146391	
75.671	1.275339	71.65275		3	90	0	0	-3.059797E-08	0.7	0.004555125	-0.08587593	0.1390287	
75.690	1.293792	71.6712		3	90	0	0	-3.059797E-08	0.7	0.00517988	-0.0831562	0.1320905	
75.707	1.311335	71.68874		3	90	0	0	-3.059797E-08	0.7	0.005753142	-0.08044644	0.1252144	
75.726	1.329469	71.70688		3	90	0	0	-3.059797E-08	0.7	0.006159349	-0.07797994	0.1185637	
75.747	1.350739	71.72815		3	90	0	0	-3.059797E-08	0.7	0.006441406	-0.07571046	0.1118792	
75.764	1.36814	71.74555		3	90	0	0	-3.059797E-08	0.7	0.006679608	-0.07368483	0.1050964	
75.789	1.392587	71.77		3	90	0	0	-3.059797E-08	0.7	0.007096449	-0.07168886	0.09840219	
75.813	1.41683	71.79424		3	90	0	0	-3.059797E-08	0.7	0.007571096	-0.06967786	0.09176047	
75.834	1.438145	71.81556		3	90	0	0	-3.059797E-08	0.7	0.008168714	-0.06780181	0.08523552	
75.857	1.460697	71.8381		3	90	0	0	-3.059797E-08	0.7	0.008899326	-0.06587875	0.07883683	
75.879	1.482834	71.86024		3	90	0	0	-3.059797E-08	0.7	0.009627448	-0.06402702	0.07261833	
75.901	1.505069	71.88248		3	90	0	0	-3.059797E-08	0.7	0.01014377	-0.06219945	0.06657033	
75.924	1.527622	71.90503		3	90	0	0	-3.059797E-08	0.7	0.01047316	-0.06040525	0.06085508	
75.947	1.551312	71.92873		3	90	0	0	-3.059797E-08	0.7	0.01066191	-0.05876169	0.05540565	
75.968	1.571399	71.94881		3	90	0	0	-3.059797E-08	0.7	0.01070682	-0.05720206	0.05020688	
75.992	1.595919	71.97333		3	90	0	0	-3.059797E-08	0.7	0.01072689	-0.05568146	0.04507124	
76.013	1.616707	71.99412		3	90	0	0	-3.059797E-08	0.7	0.01075109	-0.05418105	0.04007354	
76.037	1.640672	72.01808		3	90	0	0	-3.059797E-08	0.7	0.01067194	-0.05290011	0.03504868	
76.058	1.662601	72.04001		3	90	0	0	-3.059797E-08	0.7	0.01057912	-0.05162156	0.03013438	
76.081	1.685008	72.06242		3	90	0	0	-3.059797E-08	0.7	0.01056957	-0.0503527	0.02525971	
76.105	1.708634	72.08604		3	90	0	0	-3.059797E-08	0.7	0.01049229	-0.04919099	0.02035482	
76.127	1.730548	72.10796		3	90	0	0	-3.059797E-08	0.7	0.01040164	-0.04797324	0.01542341	
76.148	1.751882	72.1293		3	90	0	0	-3.059797E-08	0.7	0.01031596	-0.04671204	0.01070833	
76.171	1.774999	72.15241		3	90	0	0	-3.059797E-08	0.7	0.01018797	-0.04523043	0.006441637	
76.191	1.794705	72.17212		3	90	0	0	-3.059797E-08	0.7	0.009934004	-0.04358551	0.002563608	
76.213	1.816669	72.19408		3	90	0	0	-3.059797E-08	0.7	0.009528285	-0.04173849	-0.0009159941	
76.235	1.8395	72.21691		3	90	0	0	-3.059797E-08	0.7	0.008914232	-0.03968439	-0.003881799	
76.260	1.862641	72.24005		3	90	0	0	-3.059797E-08	0.7	0.008169046	-0.03728469	-0.006471846	
76.281	1.885234	72.26264		3	90	0	0	-3.059797E-08	0.7	0.007291624	-0.03464849	-0.00855255	
76.302	1.905724	72.28313		3	90	0	0	-3.059797E-08	0.7	0.006353726	-0.0321215	-0.0103759	
76.325	1.928974	72.30638		3	90	0	0	-3.059797E-08	0.7	0.005311131	-0.02959448	-0.01191439	
76.346	1.949557	72.32697		3	90	0	0	-3.059797E-08	0.7	0.004304457	-0.02728113	-0.01324362	
76.368	1.97208	72.34949		3	90	0	0	-3.059797E-08	0.7	0.003330367	-0.02507135	-0.01440127	
76.392	1.995836	72.37325		3	90	0	0	-3.059797E-08	0.7	0.002412993	-0.02310247	-0.01548145	
76.413	2.017193	72.3946		3	90	0	0	-3.059797E-08	0.7	0.001547276	-0.02157498	-0.01642014	
76.439	2.042708	72.42012		3	90	0	0	-3.059797E-08	0.7	0.0007590987	-0.02008746	-0.01738416	
76.458	2.062335	72.43974		3	90	0	0	-3.059797E-08	0.7	5.441718E-05	-0.01860504	-0.018183	
76.481	2.084544	72.46195		3	90	0	0	-3.059797E-08	0.7	-0.000534703	-0.01719439	-0.01903759	
76.507	2.110568	72.48798		3	90	0	0	-3.059797E-08	0.7	-0.001105616	-0.01591788	-0.01978566	
76.525	2.129508	72.50692		3	90	0	0	-3.059797E-08	0.7	-0.001454256	-0.01481134	-0.02033922	
76.549	2.153268	72.53068		3	90	0	0	-3.059797E-08	0.7	-0.001802485	-0.01388732	-0.02092483	
76.571	2.174965	72.55238		3	90	0	0	-3.059797E-08	0.7	-0.001939395	-0.01309945	-0.02135762	
76.594	2.198088	72.5755		3	90	0	0	-3.059797E-08	0.7	-0.001902107	-0.01247668	-0.02174419	
76.615	2.219321	72.59673		3	90	0	0	-3.059797E-08	0.7	-0.001684848	-0.01208377	-0.02198284	
